Id,Name,ScheduleId,TotalArrivalTime,Latitude,Longitude
276,Stop 276,3,63,12.1278606,-86.2118962
277,Stop 277,3,63,12.1283718,-86.2158967
278,Stop 278,3,63,12.1286856,-86.2184971
279,Stop 279,3,63,12.1284792,-86.2223622
280,Stop 280,3,63,12.1266488,-86.2233555
281,Stop 281,3,63,12.1250024,-86.2237018
282,Stop 282,3,63,12.1235681,-86.2240269
283,Stop 283,3,63,12.1208984,-86.224869
284,Stop 284,3,63,12.1219175,-86.2285494
285,Stop 285,3,63,12.1209491,-86.2308747
286,Stop 286,3,63,12.119937,-86.2319062
287,Stop 287,3,63,12.1206488,-86.2327811
288,Stop 288,3,63,12.1285562,-86.2333853
289,Stop 289,3,63,12.1286652,-86.2329833
290,Stop 290,3,63,12.1324436,-86.23534
291,Stop 291,3,63,12.1341979,-86.2381699
292,Stop 292,3,63,12.1359198,-86.2382537
293,Stop 293,3,63,12.139216,-86.2378737
294,Stop 294,3,63,12.1422411,-86.2376928
295,Stop 295,3,63,12.1446514,-86.2375131
296,Stop 296,3,63,12.1456917,-86.237454
297,Stop 297,3,63,12.1482085,-86.2372477
298,Stop 298,3,63,12.1514066,-86.2369377
299,Stop 299,3,63,12.1521471,-86.2427114
300,Stop 300,3,63,12.1524421,-86.2460419
301,Stop 301,3,63,12.1526418,-86.2482814
302,Stop 302,3,63,12.151711,-86.2491565
303,Stop 303,3,63,12.1484197,-86.2495522
304,Stop 304,3,63,12.145137,-86.2515321
305,Stop 305,3,63,12.1453802,-86.2536353
306,Stop 306,3,63,12.1444155,-86.2561512
307,Stop 307,3,63,12.1450611,-86.2598667
308,Stop 308,3,63,12.1450259,-86.2608299
309,Stop 309,3,63,12.1442184,-86.2667235
310,Stop 310,3,63,12.1455331,-86.2737374
311,Stop 311,3,63,12.1462149,-86.277966
312,Stop 312,3,63,12.1474785,-86.2821575
313,Stop 313,3,63,12.152205,-86.2831289
314,Stop 314,3,63,12.1523206,-86.2851342
315,Stop 315,3,63,12.1556518,-86.2879709
316,Stop 316,3,63,12.1554633,-86.2917162
317,Stop 317,3,63,12.1542887,-86.298127
318,Stop 318,3,63,12.1536544,-86.3009335
319,Stop 319,3,63,12.1524888,-86.3059974
320,Stop 320,3,63,12.1516988,-86.3091274
321,Stop 321,3,63,12.1507533,-86.313194
322,Stop 322,3,63,12.1554934,-86.3147253
323,Stop 323,3,63,12.1578077,-86.3137174
324,Stop 324,3,63,12.1578077,-86.3137174
325,Stop 325,3,63,12.1559049,-86.3129332
326,Stop 326,3,63,12.154588,-86.3121211
327,Stop 327,3,63,12.1546594,-86.3106215
328,Stop 328,3,63,12.1523231,-86.3090229
329,Stop 329,3,63,12.1536263,-86.3061664
330,Stop 330,3,63,12.1556345,-86.3056112
331,Stop 331,3,63,12.1546795,-86.3039617
332,Stop 332,3,63,12.1533583,-86.3025501
333,Stop 333,3,63,12.1541202,-86.2984103
334,Stop 334,3,63,12.15467,-86.2961233
335,Stop 335,3,63,12.15543,-86.2910826
336,Stop 336,3,63,12.1547958,-86.288729
337,Stop 337,3,63,12.152348,-86.2883806
338,Stop 338,3,63,12.1522055,-86.2850996
339,Stop 339,3,63,12.15214,-86.2834939
340,Stop 340,3,63,12.1492573,-86.2821316
341,Stop 341,3,63,12.1458234,-86.2821416
342,Stop 342,3,63,12.145504,-86.2790944
343,Stop 343,3,63,12.1449178,-86.2761379
344,Stop 344,3,63,12.1453369,-86.2738749
345,Stop 345,3,63,12.1441639,-86.26712
346,Stop 346,3,63,12.144232,-86.2615905
347,Stop 347,3,63,12.1434856,-86.2592914
348,Stop 348,3,63,12.1426301,-86.2567191
349,Stop 349,3,63,12.1423045,-86.2532899
350,Stop 350,3,63,12.1435307,-86.2509417
351,Stop 351,3,63,12.1488611,-86.2490939
352,Stop 352,3,63,12.151989,-86.2490227
353,Stop 353,3,63,12.1525774,-86.248319
354,Stop 354,3,63,12.1523704,-86.246069
355,Stop 355,3,63,12.1520775,-86.2427903
356,Stop 356,3,63,12.1514163,-86.2370197
357,Stop 357,3,63,12.1482207,-86.2373478
358,Stop 358,3,63,12.14561,-86.2376122
359,Stop 359,3,63,12.1422472,-86.2378
360,Stop 360,3,63,12.1396747,-86.2379861
361,Stop 361,3,63,12.1360896,-86.2383542
362,Stop 362,3,63,12.1340124,-86.2383082
